participantID,trialNumber,sampleNumber,sampleOrder,sampleTime,comparisonTime,condition
2,4,73.0,left,15000,25000,VH
2,5,95.0,left,15000,25000,VH
2,6,67.0,right,15000,25000,VH
2,7,71.0,right,15000,25000,VH
2,8,53.0,left,15000,25000,VH
2,9,72.0,right,15000,25000,V
2,10,78.0,right,15000,25000,V
2,11,60.0,left,15000,25000,V
2,12,50.0,right,15000,25000,V
2,13,16.0,right,15000,25000,V
2,14,54.0,left,15000,25000,V
2,15,28.0,right,15000,25000,V
2,16,68.0,right,15000,25000,V
2,17,70.0,left,15000,25000,V
2,18,62.0,right,15000,25000,V
2,19,64.0,right,15000,25000,V
2,20,74.0,left,15000,25000,V
2,21,10.0,right,15000,25000,V
2,22,20.0,right,15000,25000,V
2,23,84.0,left,15000,25000,V
2,24,58.0,right,15000,25000,V
2,25,43.0,left,15000,25000,VH
2,26,49.0,left,15000,25000,VH
2,27,83.0,right,15000,25000,VH
2,28,85.0,left,15000,25000,VH
2,29,65.0,left,15000,25000,VH
2,30,63.0,right,15000,25000,VH
2,31,93.0,left,15000,25000,VH
2,32,1.0,right,15000,25000,VH
2,33,88.0,left,15000,25000,V
2,34,96.0,right,15000,25000,V
2,35,6.0,left,15000,25000,V
2,36,42.0,left,15000,25000,V
2,37,94.0,right,15000,25000,V
2,38,44.0,right,15000,25000,V
2,39,8.0,left,15000,25000,V
2,40,4.0,right,15000,25000,V
2,41,69.0,left,15000,25000,VH
2,42,35.0,left,15000,25000,VH
2,43,91.0,right,15000,25000,VH
2,44,81.0,left,15000,25000,VH
2,45,19.0,left,15000,25000,VH
2,46,75.0,right,15000,25000,VH
2,47,57.0,right,15000,25000,VH
2,48,45.0,left,15000,25000,VH
2,49,34.0,right,15000,25000,V
2,50,38.0,right,15000,25000,V
2,51,30.0,left,15000,25000,V
2,52,48.0,right,15000,25000,V
2,53,12.0,right,15000,25000,V
2,54,18.0,left,15000,25000,V
2,55,76.0,right,15000,25000,V
2,56,26.0,left,15000,25000,V
2,57,23.0,right,15000,25000,VH
2,58,21.0,left,15000,25000,VH
2,59,33.0,right,15000,25000,VH
2,60,11.0,left,15000,25000,VH
2,61,41.0,left,15000,25000,VH
2,62,5.0,right,15000,25000,VH
2,63,31.0,right,15000,25000,VH
2,64,3.0,left,15000,25000,VH
2,65,29.0,left,15000,25000,VH
2,66,25.0,right,15000,25000,VH
2,67,15.0,left,15000,25000,VH
2,68,59.0,left,15000,25000,VH
2,69,13.0,right,15000,25000,VH
2,70,39.0,left,15000,25000,VH
2,71,77.0,left,15000,25000,VH
2,72,17.0,right,15000,25000,VH
2,73,46.0,left,15000,25000,V
2,74,56.0,right,15000,25000,V
2,75,14.0,left,15000,25000,V
2,76,86.0,right,15000,25000,V
2,77,82.0,left,15000,25000,V
2,78,32.0,left,15000,25000,V
2,79,2.0,right,15000,25000,V
2,80,80.0,left,15000,25000,V
2,81,55.0,left,15000,25000,VH
2,82,89.0,right,15000,25000,VH
2,83,27.0,left,15000,25000,VH
2,84,37.0,left,15000,25000,VH
2,85,7.0,right,15000,25000,VH
2,86,61.0,right,15000,25000,VH
2,87,51.0,left,15000,25000,VH
2,88,47.0,right,15000,25000,VH
2,89,90.0,left,15000,25000,V
2,90,52.0,left,15000,25000,V
2,91,92.0,right,15000,25000,V
2,92,36.0,left,15000,25000,V
2,93,40.0,left,15000,25000,V
2,94,24.0,right,15000,25000,V
2,95,66.0,right,15000,25000,V
2,96,22.0,right,15000,25000,V
3,1,11.0,left,15000,25000,V
3,2,83.0,left,15000,25000,V
3,3,35.0,right,15000,25000,V
3,4,29.0,left,15000,25000,V
3,5,87.0,right,15000,25000,V
3,6,55.0,right,15000,25000,V
3,7,47.0,left,15000,25000,V
3,8,19.0,right,15000,25000,V
3,9,66.0,left,15000,25000,VH
3,10,58.0,right,15000,25000,VH
3,11,72.0,left,15000,25000,VH
3,12,76.0,right,15000,25000,VH
3,13,52.0,right,15000,25000,VH
3,14,22.0,left,15000,25000,VH
3,15,96.0,right,15000,25000,VH
3,16,20.0,right,15000,25000,VH
3,17,86.0,left,15000,25000,VH
3,18,4.0,right,15000,25000,VH
3,19,2.0,left,15000,25000,VH
3,20,62.0,right,15000,25000,VH
3,21,84.0,right,15000,25000,VH
3,22,18.0,left,15000,25000,VH
3,23,80.0,left,15000,25000,VH
3,24,60.0,right,15000,25000,VH
3,25,61.0,left,15000,25000,V
3,26,69.0,left,15000,25000,V
3,27,9.0,right,15000,25000,V
3,28,73.0,left,15000,25000,V
3,29,3.0,left,15000,25000,V
3,30,89.0,right,15000,25000,V
3,31,75.0,left,15000,25000,V
3,32,15.0,left,15000,25000,V
3,33,32.0,right,15000,25000,VH
3,34,30.0,left,15000,25000,VH
3,35,14.0,right,15000,25000,VH
3,36,42.0,right,15000,25000,VH
3,37,12.0,left,15000,25000,VH
3,38,64.0,right,15000,25000,VH
3,39,94.0,right,15000,25000,VH
3,40,36.0,left,15000,25000,VH
3,41,25.0,right,15000,25000,V
3,42,39.0,right,15000,25000,V
3,43,91.0,left,15000,25000,V
3,44,45.0,left,15000,25000,V
3,45,7.0,right,15000,25000,V
3,46,41.0,left,15000,25000,V
3,47,51.0,right,15000,25000,V
3,48,37.0,left,15000,25000,V
3,49,26.0,right,15000,25000,VH
3,50,54.0,right,15000,25000,VH
3,51,8.0,left,15000,25000,VH
3,52,68.0,right,15000,25000,VH
3,53,82.0,right,15000,25000,VH
3,54,56.0,left,15000,25000,VH
3,55,16.0,right,15000,25000,VH
3,56,78.0,right,15000,25000,VH
3,57,71.0,left,15000,25000,V
3,58,23.0,left,15000,25000,V
3,59,57.0,right,15000,25000,V
3,60,93.0,left,15000,25000,V
3,61,33.0,left,15000,25000,V
3,62,31.0,right,15000,25000,V
3,63,67.0,left,15000,25000,V
3,64,43.0,left,15000,25000,V
3,65,27.0,right,15000,25000,V
3,66,53.0,left,15000,25000,V
3,67,13.0,right,15000,25000,V
3,68,1.0,left,15000,25000,V
3,69,49.0,right,15000,25000,V
3,70,5.0,left,15000,25000,V
3,71,79.0,left,15000,25000,V
3,72,63.0,right,15000,25000,V
3,73,40.0,left,15000,25000,VH
3,74,92.0,left,15000,25000,VH
3,75,34.0,right,15000,25000,VH
3,76,88.0,left,15000,25000,VH
3,77,50.0,left,15000,25000,VH
3,78,28.0,right,15000,25000,VH
3,79,6.0,left,15000,25000,VH
3,80,44.0,left,15000,25000,VH
3,81,10.0,right,15000,25000,VH
3,82,74.0,right,15000,25000,VH
3,83,24.0,left,15000,25000,VH
3,84,46.0,left,15000,25000,VH
3,85,90.0,right,15000,25000,VH
3,86,48.0,left,15000,25000,VH
3,87,70.0,left,15000,25000,VH
3,88,38.0,right,15000,25000,VH
3,89,85.0,right,15000,25000,V
3,90,17.0,left,15000,25000,V
3,91,77.0,right,15000,25000,V
3,92,81.0,left,15000,25000,V
3,93,65.0,right,15000,25000,V
3,94,59.0,right,15000,25000,V
3,95,21.0,right,15000,25000,V
3,96,95.0,right,15000,25000,V
4,1,51.0,right,15000,25000,VH
4,2,5.0,right,15000,25000,VH
4,3,79.0,left,15000,25000,VH
4,4,75.0,right,15000,25000,VH
4,5,89.0,left,15000,25000,VH
4,6,61.0,left,15000,25000,VH
4,7,81.0,right,15000,25000,VH
4,8,31.0,right,15000,25000,VH
4,9,56.0,left,15000,25000,V
4,10,4.0,left,15000,25000,V
4,11,34.0,right,15000,25000,V
4,12,48.0,left,15000,25000,V
4,13,32.0,left,15000,25000,V
4,14,92.0,right,15000,25000,V
4,15,52.0,left,15000,25000,V
4,16,20.0,right,15000,25000,V
4,17,93.0,left,15000,25000,VH
4,18,53.0,right,15000,25000,VH
4,19,57.0,left,15000,25000,VH
4,20,95.0,left,15000,25000,VH
4,21,49.0,right,15000,25000,VH
4,22,13.0,left,15000,25000,VH
4,23,71.0,left,15000,25000,VH
4,24,3.0,right,15000,25000,VH
4,25,54.0,right,15000,25000,V
4,26,2.0,left,15000,25000,V
4,27,40.0,left,15000,25000,V
4,28,62.0,right,15000,25000,V
4,29,64.0,left,15000,25000,V
4,30,14.0,left,15000,25000,V
4,31,28.0,right,15000,25000,V
4,32,60.0,left,15000,25000,V
4,33,22.0,right,15000,25000,V
4,34,96.0,left,15000,25000,V
4,35,6.0,left,15000,25000,V
4,36,58.0,right,15000,25000,V
4,37,24.0,left,15000,25000,V
4,38,18.0,left,15000,25000,V
4,39,10.0,right,15000,25000,V
4,40,26.0,left,15000,25000,V
4,41,39.0,left,15000,25000,VH
4,42,19.0,right,15000,25000,VH
4,43,7.0,right,15000,25000,VH
4,44,59.0,left,15000,25000,VH
4,45,33.0,right,15000,25000,VH
4,46,17.0,left,15000,25000,VH
4,47,83.0,right,15000,25000,VH
4,48,37.0,right,15000,25000,VH
4,49,55.0,left,15000,25000,VH
4,50,43.0,left,15000,25000,VH
4,51,35.0,right,15000,25000,VH
4,52,23.0,left,15000,25000,VH
4,53,45.0,left,15000,25000,VH
4,54,1.0,right,15000,25000,VH
4,55,77.0,left,15000,25000,VH
4,56,69.0,left,15000,25000,VH
4,57,46.0,right,15000,25000,V
4,58,88.0,right,15000,25000,V
4,59,8.0,left,15000,25000,V
4,60,42.0,right,15000,25000,V
4,61,90.0,right,15000,25000,V
4,62,76.0,left,15000,25000,V
4,63,30.0,right,15000,25000,V
4,64,72.0,right,15000,25000,V
4,65,78.0,left,15000,25000,V
4,66,80.0,right,15000,25000,V
4,67,36.0,right,15000,25000,V
4,68,44.0,left,15000,25000,V
4,69,16.0,right,15000,25000,V
4,70,84.0,right,15000,25000,V
4,71,68.0,left,15000,25000,V
4,72,50.0,right,15000,25000,V
4,73,87.0,right,15000,25000,VH
4,74,73.0,left,15000,25000,VH
4,75,91.0,right,15000,25000,VH
4,76,9.0,left,15000,25000,VH
4,77,25.0,left,15000,25000,VH
4,78,29.0,right,15000,25000,VH
4,79,85.0,left,15000,25000,VH
4,80,41.0,left,15000,25000,VH
4,81,15.0,right,15000,25000,VH
4,82,47.0,left,15000,25000,VH
4,83,67.0,right,15000,25000,VH
4,84,27.0,right,15000,25000,VH
4,85,21.0,left,15000,25000,VH
4,86,65.0,right,15000,25000,VH
4,87,63.0,right,15000,25000,VH
4,88,11.0,left,15000,25000,VH
4,89,70.0,right,15000,25000,V
4,90,74.0,right,15000,25000,V
4,91,94.0,left,15000,25000,V
4,92,38.0,right,15000,25000,V
4,93,86.0,left,15000,25000,V
4,94,12.0,right,15000,25000,V
4,95,82.0,left,15000,25000,V
4,96,66.0,right,15000,25000,V
5,1,75.0,right,15000,25000,V
5,2,57.0,right,15000,25000,V
5,3,49.0,left,15000,25000,V
5,4,39.0,right,15000,25000,V
5,5,5.0,right,15000,25000,V
5,6,7.0,left,15000,25000,V
5,7,33.0,right,15000,25000,V
5,8,91.0,right,15000,25000,V
5,9,2.0,left,15000,25000,VH
5,10,44.0,left,15000,25000,VH
5,11,20.0,right,15000,25000,VH
5,12,34.0,left,15000,25000,VH
5,13,76.0,right,15000,25000,VH
5,14,18.0,left,15000,25000,VH
5,15,36.0,right,15000,25000,VH
5,16,28.0,right,15000,25000,VH
5,17,17.0,left,15000,25000,V
5,18,83.0,left,15000,25000,V
5,19,37.0,right,15000,25000,V
5,20,89.0,left,15000,25000,V
5,21,29.0,right,15000,25000,V
5,22,23.0,right,15000,25000,V
5,23,11.0,left,15000,25000,V
5,24,41.0,right,15000,25000,V
5,25,68.0,right,15000,25000,VH
5,26,26.0,left,15000,25000,VH
5,27,30.0,left,15000,25000,VH
5,28,16.0,right,15000,25000,VH
5,29,66.0,left,15000,25000,VH
5,30,22.0,left,15000,25000,VH
5,31,46.0,right,15000,25000,VH
5,32,50.0,left,15000,25000,VH
5,33,62.0,left,15000,25000,VH
5,34,58.0,right,15000,25000,VH
5,35,92.0,left,15000,25000,VH
5,36,84.0,left,15000,25000,VH
5,37,38.0,right,15000,25000,VH
5,38,24.0,left,15000,25000,VH
5,39,80.0,left,15000,25000,VH
5,40,94.0,right,15000,25000,VH
5,41,45.0,right,15000,25000,V
5,42,71.0,left,15000,25000,V
5,43,55.0,left,15000,25000,V
5,44,85.0,right,15000,25000,V
5,45,93.0,right,15000,25000,V
5,46,31.0,left,15000,25000,V
5,47,9.0,right,15000,25000,V
5,48,95.0,right,15000,25000,V
5,49,1.0,left,15000,25000,V
5,50,73.0,right,15000,25000,V
5,51,43.0,right,15000,25000,V
5,52,79.0,left,15000,25000,V
5,53,65.0,right,15000,25000,V
5,54,47.0,right,15000,25000,V
5,55,13.0,left,15000,25000,V
5,56,27.0,right,15000,25000,V
5,57,96.0,right,15000,25000,VH
5,58,88.0,left,15000,25000,VH
5,59,70.0,right,15000,25000,VH
5,60,56.0,right,15000,25000,VH
5,61,78.0,left,15000,25000,VH
5,62,54.0,right,15000,25000,VH
5,63,64.0,left,15000,25000,VH
5,64,4.0,right,15000,25000,VH
5,65,69.0,right,15000,25000,V
5,66,19.0,left,15000,25000,V
5,67,77.0,right,15000,25000,V
5,68,63.0,left,15000,25000,V
5,69,3.0,left,15000,25000,V
5,70,35.0,right,15000,25000,V
5,71,15.0,left,15000,25000,V
5,72,59.0,right,15000,25000,V
5,73,74.0,left,15000,25000,VH
5,74,60.0,left,15000,25000,VH
5,75,90.0,right,15000,25000,VH
5,76,32.0,left,15000,25000,VH
5,77,86.0,right,15000,25000,VH
5,78,42.0,left,15000,25000,VH
5,79,12.0,left,15000,25000,VH
5,80,82.0,right,15000,25000,VH
5,81,51.0,left,15000,25000,V
5,82,87.0,left,15000,25000,V
5,83,67.0,right,15000,25000,V
5,84,81.0,left,15000,25000,V
5,85,21.0,left,15000,25000,V
5,86,25.0,right,15000,25000,V
5,87,61.0,right,15000,25000,V
5,88,53.0,left,15000,25000,V
5,89,10.0,right,15000,25000,VH
5,90,14.0,left,15000,25000,VH
5,91,48.0,right,15000,25000,VH
5,92,8.0,left,15000,25000,VH
5,93,40.0,left,15000,25000,VH
5,94,72.0,right,15000,25000,VH
5,95,52.0,left,15000,25000,VH
5,96,6.0,left,15000,25000,VH
6,1,91.0,right,15000,25000,VH
6,2,69.0,right,15000,25000,VH
6,3,43.0,left,15000,25000,VH
6,4,67.0,right,15000,25000,VH
6,5,89.0,right,15000,25000,VH
6,6,79.0,left,15000,25000,VH
6,7,55.0,right,15000,25000,VH
6,8,29.0,right,15000,25000,VH
6,9,74.0,left,15000,25000,V
6,10,10.0,right,15000,25000,V
6,11,56.0,right,15000,25000,V
6,12,34.0,left,15000,25000,V
6,13,38.0,right,15000,25000,V
6,14,28.0,right,15000,25000,V
6,15,6.0,left,15000,25000,V
6,16,46.0,right,15000,25000,V
6,17,66.0,right,15000,25000,V
6,18,16.0,left,15000,25000,V
6,19,86.0,right,15000,25000,V
6,20,82.0,right,15000,25000,V
6,21,12.0,left,15000,25000,V
6,22,2.0,right,15000,25000,V
6,23,64.0,right,15000,25000,V
6,24,78.0,left,15000,25000,V
6,25,27.0,right,15000,25000,VH
6,26,39.0,right,15000,25000,VH
6,27,59.0,left,15000,25000,VH
6,28,95.0,left,15000,25000,VH
6,29,1.0,right,15000,25000,VH
6,30,73.0,left,15000,25000,VH
6,31,61.0,left,15000,25000,VH
6,32,17.0,right,15000,25000,VH
6,33,50.0,right,15000,25000,V
6,34,68.0,left,15000,25000,V
6,35,72.0,left,15000,25000,V
6,36,40.0,right,15000,25000,V
6,37,94.0,right,15000,25000,V
6,38,92.0,left,15000,25000,V
6,39,96.0,left,15000,25000,V
6,40,42.0,right,15000,25000,V
6,41,31.0,left,15000,25000,VH
6,42,63.0,left,15000,25000,VH
6,43,83.0,right,15000,25000,VH
6,44,15.0,left,15000,25000,VH
6,45,13.0,left,15000,25000,VH
6,46,85.0,right,15000,25000,VH
6,47,45.0,left,15000,25000,VH
6,48,35.0,left,15000,25000,VH
6,49,8.0,right,15000,25000,V
6,50,22.0,left,15000,25000,V
6,51,48.0,left,15000,25000,V
6,52,90.0,right,15000,25000,V
6,53,52.0,left,15000,25000,V
6,54,44.0,left,15000,25000,V
6,55,54.0,right,15000,25000,V
6,56,62.0,left,15000,25000,V
6,57,37.0,left,15000,25000,VH
6,58,77.0,right,15000,25000,VH
6,59,75.0,left,15000,25000,VH
6,60,33.0,left,15000,25000,VH
6,61,65.0,right,15000,25000,VH
6,62,5.0,left,15000,25000,VH
6,63,49.0,right,15000,25000,VH
6,64,87.0,right,15000,25000,VH
6,65,14.0,left,15000,25000,V
6,66,80.0,right,15000,25000,V
6,67,20.0,left,15000,25000,V
6,68,88.0,left,15000,25000,V
6,69,30.0,right,15000,25000,V
6,70,26.0,left,15000,25000,V
6,71,32.0,right,15000,25000,V
6,72,18.0,left,15000,25000,V
6,73,47.0,left,15000,25000,VH
6,74,7.0,right,15000,25000,VH
6,75,71.0,left,15000,25000,VH
6,76,21.0,left,15000,25000,VH
6,77,9.0,right,15000,25000,VH
6,78,19.0,left,15000,25000,VH
6,79,81.0,left,15000,25000,VH
6,80,41.0,right,15000,25000,VH
6,81,3.0,left,15000,25000,VH
6,82,25.0,left,15000,25000,VH
6,83,23.0,right,15000,25000,VH
6,84,51.0,right,15000,25000,VH
6,85,11.0,left,15000,25000,VH
6,86,93.0,left,15000,25000,VH
6,87,57.0,right,15000,25000,VH
6,88,53.0,right,15000,25000,VH
6,89,84.0,left,15000,25000,V
6,90,24.0,right,15000,25000,V
6,91,4.0,left,15000,25000,V
6,92,70.0,right,15000,25000,V
6,93,60.0,right,15000,25000,V
6,94,36.0,left,15000,25000,V
6,95,58.0,right,15000,25000,V
6,96,76.0,right,15000,25000,V
7,1,11.0,right,15000,25000,V
7,2,73.0,right,15000,25000,V
7,3,13.0,left,15000,25000,V
7,4,63.0,left,15000,25000,V
7,5,39.0,right,15000,25000,V
7,6,19.0,left,15000,25000,V
7,7,7.0,right,15000,25000,V
7,8,59.0,left,15000,25000,V
7,9,4.0,right,15000,25000,VH
7,10,76.0,right,15000,25000,VH
7,11,64.0,left,15000,25000,VH
7,12,32.0,right,15000,25000,VH
7,13,58.0,left,15000,25000,VH
7,14,62.0,left,15000,25000,VH
7,15,28.0,right,15000,25000,VH
7,16,36.0,right,15000,25000,VH
7,17,83.0,left,15000,25000,V
7,18,51.0,right,15000,25000,V
7,19,75.0,right,15000,25000,V
7,20,93.0,left,15000,25000,V
7,21,85.0,right,15000,25000,V
7,22,91.0,right,15000,25000,V
7,23,79.0,left,15000,25000,V
7,24,33.0,right,15000,25000,V
7,25,10.0,left,15000,25000,VH
7,26,30.0,left,15000,25000,VH
7,27,52.0,right,15000,25000,VH
7,28,66.0,right,15000,25000,VH
7,29,48.0,left,15000,25000,VH
7,30,34.0,right,15000,25000,VH
7,31,84.0,left,15000,25000,VH
7,32,78.0,left,15000,25000,VH
7,33,29.0,right,15000,25000,V
7,34,23.0,left,15000,25000,V
7,35,65.0,right,15000,25000,V
7,36,69.0,left,15000,25000,V
7,37,17.0,right,15000,25000,V
7,38,95.0,right,15000,25000,V
7,39,53.0,left,15000,25000,V
7,40,3.0,right,15000,25000,V
7,41,72.0,left,15000,25000,VH
7,42,44.0,left,15000,25000,VH
7,43,8.0,right,15000,25000,VH
7,44,24.0,left,15000,25000,VH
7,45,50.0,right,15000,25000,VH
7,46,90.0,left,15000,25000,VH
7,47,96.0,left,15000,25000,VH
7,48,54.0,right,15000,25000,VH
7,49,60.0,left,15000,25000,VH
7,50,42.0,right,15000,25000,VH
7,51,6.0,right,15000,25000,VH
7,52,38.0,left,15000,25000,VH
7,53,14.0,right,15000,25000,VH
7,54,92.0,right,15000,25000,VH
7,55,86.0,left,15000,25000,VH
7,56,20.0,right,15000,25000,VH
7,57,31.0,right,15000,25000,V
7,58,49.0,left,15000,25000,V
7,59,21.0,right,15000,25000,V
7,60,9.0,left,15000,25000,V
7,61,71.0,left,15000,25000,V
7,62,25.0,right,15000,25000,V
7,63,41.0,left,15000,25000,V
7,64,57.0,left,15000,25000,V
7,65,80.0,right,15000,25000,VH
7,66,18.0,left,15000,25000,VH
7,67,16.0,left,15000,25000,VH
7,68,88.0,right,15000,25000,VH
7,69,68.0,left,15000,25000,VH
7,70,26.0,right,15000,25000,VH
7,71,74.0,left,15000,25000,VH
7,72,56.0,left,15000,25000,VH
7,73,27.0,right,15000,25000,V
7,74,15.0,left,15000,25000,V
7,75,5.0,right,15000,25000,V
7,76,55.0,left,15000,25000,V
7,77,61.0,right,15000,25000,V
7,78,37.0,right,15000,25000,V
7,79,45.0,left,15000,25000,V
7,80,77.0,right,15000,25000,V
7,81,46.0,right,15000,25000,VH
7,82,2.0,left,15000,25000,VH
7,83,22.0,right,15000,25000,VH
7,84,94.0,right,15000,25000,VH
7,85,12.0,left,15000,25000,VH
7,86,82.0,right,15000,25000,VH
7,87,70.0,right,15000,25000,VH
7,88,40.0,left,15000,25000,VH
7,89,35.0,left,15000,25000,V
7,90,47.0,right,15000,25000,V
7,91,87.0,left,15000,25000,V
7,92,81.0,left,15000,25000,V
7,93,89.0,right,15000,25000,V
7,94,1.0,left,15000,25000,V
7,95,43.0,left,15000,25000,V
7,96,67.0,left,15000,25000,V
8,1,49.0,left,15000,25000,VH
8,2,23.0,left,15000,25000,VH
8,3,59.0,right,15000,25000,VH
8,4,69.0,left,15000,25000,VH
8,5,21.0,right,15000,25000,VH
8,6,53.0,left,15000,25000,VH
8,7,79.0,right,15000,25000,VH
8,8,39.0,right,15000,25000,VH
8,9,34.0,left,15000,25000,V
8,10,42.0,left,15000,25000,V
8,11,54.0,right,15000,25000,V
8,12,82.0,left,15000,25000,V
8,13,92.0,left,15000,25000,V
8,14,60.0,right,15000,25000,V
8,15,64.0,left,15000,25000,V
8,16,18.0,left,15000,25000,V
8,17,63.0,right,15000,25000,VH
8,18,37.0,left,15000,25000,VH
8,19,57.0,right,15000,25000,VH
8,20,75.0,right,15000,25000,VH
8,21,41.0,left,15000,25000,VH
8,22,9.0,right,15000,25000,VH
8,23,3.0,left,15000,25000,VH
8,24,93.0,left,15000,25000,VH
8,25,52.0,right,15000,25000,V
8,26,20.0,left,15000,25000,V
8,27,28.0,right,15000,25000,V
8,28,96.0,right,15000,25000,V
8,29,36.0,left,15000,25000,V
8,30,70.0,right,15000,25000,V
8,31,10.0,right,15000,25000,V
8,32,58.0,left,15000,25000,V
8,33,86.0,right,15000,25000,V
8,34,90.0,left,15000,25000,V
8,35,74.0,right,15000,25000,V
8,36,16.0,left,15000,25000,V
8,37,68.0,right,15000,25000,V
8,38,8.0,left,15000,25000,V
8,39,44.0,right,15000,25000,V
8,40,48.0,right,15000,25000,V
8,41,43.0,left,15000,25000,VH
8,42,65.0,left,15000,25000,VH
8,43,55.0,right,15000,25000,VH
8,44,33.0,left,15000,25000,VH
8,45,51.0,right,15000,25000,VH
8,46,87.0,left,15000,25000,VH
8,47,5.0,left,15000,25000,VH
8,48,27.0,right,15000,25000,VH
8,49,40.0,left,15000,25000,V
8,50,66.0,left,15000,25000,V
8,51,78.0,right,15000,25000,V
8,52,94.0,left,15000,25000,V
8,53,84.0,right,15000,25000,V
8,54,26.0,left,15000,25000,V
8,55,12.0,right,15000,25000,V
8,56,56.0,right,15000,25000,V
8,57,77.0,left,15000,25000,VH
8,58,73.0,left,15000,25000,VH
8,59,91.0,right,15000,25000,VH
8,60,81.0,right,15000,25000,VH
8,61,15.0,left,15000,25000,VH
8,62,67.0,right,15000,25000,VH
8,63,45.0,right,15000,25000,VH
8,64,95.0,left,15000,25000,VH
8,65,72.0,left,15000,25000,V
8,66,24.0,right,15000,25000,V
8,67,14.0,left,15000,25000,V
8,68,46.0,left,15000,25000,V
8,69,62.0,right,15000,25000,V
8,70,4.0,left,15000,25000,V
8,71,50.0,right,15000,25000,V
8,72,32.0,right,15000,25000,V
8,73,89.0,left,15000,25000,VH
8,74,17.0,right,15000,25000,VH
8,75,19.0,right,15000,25000,VH
8,76,31.0,left,15000,25000,VH
8,77,35.0,left,15000,25000,VH
8,78,29.0,right,15000,25000,VH
8,79,71.0,right,15000,25000,VH
8,80,11.0,left,15000,25000,VH
